headline,link
"Stocks rally with help from China data, weaker dollar",https://www.moneyweb.co.za/news-fast-news/stocks-rally-with-help-from-china-data-weaker-dollar/
"Stocks rally as strong rand, risk appetite lifts banks",https://www.moneyweb.co.za/news-fast-news/stocks-rally-as-strong-rand-risk-appetite-lifts-banks/
Special report: The big discounts on holding companies,https://www.moneyweb.co.za/in-depth/special-report-the-big-discounts-on-holding-companies/
How the JSE has changed in 10 years,https://www.moneyweb.co.za/investing/how-the-jse-has-changed-in-10-years/
Five things making headlines in South Africa today,https://www.moneyweb.co.za/news-fast-news/five-things-making-headlines-in-south-africa-today-290/
Elections 2019: How to position your portfolio,https://www.moneyweb.co.za/moneyweb-opinion/elections-2019-how-to-position-your-portfolio/
"Rand rallies, stocks stumble as BAT sinks",https://www.moneyweb.co.za/news-fast-news/rand-rallies-stocks-stumble-as-bat-sinks/
Five things making headlines in South Africa today,https://www.moneyweb.co.za/news-fast-news/five-things-making-headlines-in-south-africa-today-190/
Holding company discounts widen dramatically,https://www.moneyweb.co.za/investing/holding-company-discounts-widen-dramatically/
Five things making headlines in South Africa today,https://www.moneyweb.co.za/news/companies-and-deals/five-things-making-headlines-in-south-africa-today-75/
Global factors impact SA market euphoria,https://www.moneyweb.co.za/moneyweb-radio/market-commentator-moneyweb-radio/global-factors-impact-sa-market-euphoria/
Ten stocks that Zuma can’t break,https://www.moneyweb.co.za/investing/equities/ten-stocks-that-zuma-cant-break/
"Rand shrugs off Moody’s downgrade, stocks fall",https://www.moneyweb.co.za/news-fast-news/rand-shrugs-off-moodys-downgrade-stocks-fall/
Active and passive managers have the same problem,https://www.moneyweb.co.za/investing/active-and-passive-managers-have-the-same-problem/
"Rand retreats further from 3-week high, stocks gain",https://www.moneyweb.co.za/news-fast-news/rand-retreats-further-from-3-week-high-stocks-gain/
